ticker,company,cik
AEVA,Aeva Technologies Inc. Common Stock,1789029.0
AEVAW,Aeva Technologies Inc. Warrants,1789029.0
AEYE,AudioEye Inc. Common Stock,1362190.0
AFBI,Affinity Bancshares Inc. Common Stock (MD),1823406.0
AFCG,Advanced Flower Capital Inc. Common Stock,1822523.0
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,1979005.0
AFJKR,Aimei Health Technology Co. Ltd Right,1979005.0
AFJKU,Aimei Health Technology Co. Ltd Unit,1979005.0
AFRI,Forafric Global PLC Ordinary Shares,1903870.0
AFRIW,Forafric Global PLC Warrants,1903870.0
AFRM,Affirm Holdings Inc. Class A Common Stock,1820953.0
AFYA,Afya Limited Class A Common Shares,1771007.0
AGAE,Allied Gaming & Entertainment Inc. Common Stock,1708341.0
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,2060016.0
AGEN,Agenus Inc. Common Stock,1098972.0
AGH,Aureus Greenway Holdings Inc. Common Stock,2009312.0
AGIO,Agios Pharmaceuticals Inc. Common Stock,1439222.0
AGMB,AgomAb Therapeutics NV American Depositary Shares,2020932.0
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,1705402.0
AGNC,AGNC Investment Corp. Common Stock,1423689.0
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,1423689.0
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,1423689.0
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,1423689.0
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,1423689.0
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,1423689.0
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,1423689.0
